Территориальное управление Ростехнадзора,Субъект(ы) Российской Федерации,Вид проверки,Наименование проверяемой организации,ИНН проверяемой организации,Регистрационный № ОПО,Начало проведения проверки,Окончание проведения проверки,Количество башенных кранов в организации (всего),Количество проверенных башенных кранов,Количество демонтированных кранов (из числа проверенных),Количество выявленных технических нарушений,Количество выявленных организационных нарушений,Количество нарушений в части ППР,Количество нарушений в части ЭПБ,Количество нарушений требований ТР ТС 010/2011,"Количество иных нарушений (с указанием вида(видов) нарушений в графе ""Примечания"")",Общее количество выявленных нарушений (по Акту),Количество штрафов в отношении юридических лиц,Общая сумма наложенных штрафов в отношении юридических лиц (руб.),Количество штрафов в отношении должностных лиц,Общая сумма наложенных штрафов в отношении должностных лиц (руб.),Количество приостановок по ч.1 ст. 9.1 КоАП,Количество приостановок по ч. 3 ст. 9.1 КоАП,Количество вынесенных предупреждений,Количество дисквалификаций,"Иные принятые меры реагирования (письма в правоохранительные органы, прокуратуру, суды и т.д.)",Примечания
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Металлопрокат""",5 070 013 700,А02-30707-0002 ,22.05.2017,26.05.2017,2,2,0,22,4,1,1,0,0,28,0, -   ? ,1, 20 000.00 ? ,2,0,1,0,"?В Коломенский городской суд направлены материалы на приостановку эксплуатации 2-х башенных кранов
","?Количество выявленных нарушений по технического состаянию кранов - 22 
"
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),«Группа компаний «Русский бетон» ,5 007 077 241,А02-90113-0001,25.08.2017,25.08.2017,3,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,"?
При выезде по адресу местонахождения юридического лица - ООО «ГК «Русский бетон»:         ул. Промышленная, д.1, корп. 2,  г. Дмитров, Московской обл., указанная организация не найдена;
   - На сайте арбитражного суда Московской области размещено определение о применении в отношении ООО «ГК «Русский бетон» процедуры банкротства – наблюдение (см. определение Арбитражного суда Московской обл. дело №А41-89058/16);
    - В ходе проверки не установлено место нахождения башенных кранов принадлежащих ООО «ГК «Русский бетон»;
   - С целью установления места нахождения башенных кранов, принадлежащих ранее ООО «ГК «Русский бетон», в адрес арбитражного управляющего Гильманова А.Н. направлен запрос.


",
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Пушкин""",2 320 214 358,А02-91011-0001,10.07.2017,14.07.2017,3,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?Краны находятся в Краснодарском крае, г. Сочи
"
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""ВМ Ресурс""",5 036 042 740,А02-90880-0001,30.05.2017,27.06.2017,15,11,9,12,3,1,1,0,0,17,0, -   ? ,1, 20 000.00 ? ,2,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""АЙ АСМАН""",2 454 019 422,,16.05.2017,09.06.2017,1,1,1,4,3,13,0,0,0,20,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Севертранс""",2 454 021 950,,01.06.2017,29.06.2017,1,1,1,1,20,0,0,0,0,21,0, -   ? ,0, -   ? ,1,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""ЕНИСЕЙ-ЛЯНМУ""",2 454 017 263,,01.06.2017,27.06.2017,1,1,1,5,15,1,0,0,0,21,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Карабульский завод железобетонных изделий""",2 460 252 635,А66-04198-0001,20.06.2017,20.06.2017,1,1,0,1,2,0,1,0,0,4,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Древсервис""",2 407 009 314,А66-00817-0001,21.06.2017,21.06.2017,1,1,0,2,7,0,0,0,0,9,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"АО ""Север Лес""",2 464 227 848,А66-03786-0001,18.05.2017,31.05.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""ПАРИТЕТ""",2 450 020 258,А66-03529-0001,23.06.2017,26.06.2017,1,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Ермак. Сибирская лесопромышленная компания""",2 464 050 816,А66-02284-0002,27.06.2017,27.06.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО "" Восток плюс""",2 465 263 197,А66-04175-0001,26.06.2017,27.06.2017,1,1,0,6,3,0,0,0,0,9,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Компания Альтаир""",2 466 162 240,А66-04193-0001,03.07.2017,14.07.2017,6,6,0,5,20,0,0,0,0,25,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""ЕнисейКранСервис""",2 465 271 303,А66-04057-0001,03.07.2017,03.07.2017,1,1,0,0,1,0,0,0,0,1,0, -   ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""ЭНЕСАЙ""",2 454 021 950,,16.05.2017,05.06.2017,1,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Высота""",5 002 102 092,А02-90109-0001,19.07.2017,04.08.2017,4,4,4,0,4,0,0,0,0,4,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,"?нет
",
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""АрТеС групп""",7 703 820 440,АО1-13918-000 1,05.09.2017,18.09.2017,5,5,4,2,1,2,0,0,0,5,0, -   ? ,0, -   ? ,0,0,2,0,"?В связи с тем, что ООО ""АрТеС групп"" относится к малому бизнесу, в место административного наказания в виде штрафа в отношении юридического и должностного лиц вынесено предупреждение
",
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""ДОК - 13""",5 027 215 757,А02-52142-0001,15.11.2017,15.11.2017,2,0,2,0,1,0,0,0,0,1,0, -   ? ,0, -   ? ,0,0,0,0,"? В ходе проверки установлено. что 000 «ДОК-13» на основании договора купли-продажи от 01.08.2017 N2 01/08/17 передали в
собственность Спирину П.Е. башенный кран КП-З00 зав. N2 462 и башенный кран КБ-572Б
зав. N2 148


",
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),000 «Спецтранс Веста»,7 707 104 127,АО1-0403-0001,07.08.2017,11.08.2017,4,2,2,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?Из 4-х башенных кранов, находящихся на балансе 000 «Спецтранс Веста», 2 крана эксплуатируются на территории г. Москва, а 2 крана в демонтированном состоянии находятся на базе предприятия по адресу:Московская область, г. Дзержинский, ул. Садовая, д. 22. Работники МТУ Ростехнадзора за допущенные организационные нарушения привлекли юридическое и должностное лицо к административной ответственности.
"
Верхне-Донское управление,46 Курская область,первичная выездная проверка (по поручению 85 РП),"ООО ""РеалСтрой""",4 633 019 535,А07-06460,14.06.2017,20.06.2017,1,1,0,17,2,1,0,0,0,20,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),Акционерное обшество «Управление механизации N 62»,5 005 027 083,АО2-30046-0001,13.06.2017,13.06.2017,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,"?нет
","

При проверке установлено, что АО ""УМ - 62"" за период 01.04.2017 - 01.05.2017 сняло с учета башенные краны КБ-405.1 рег. N 66714, зав. N 2687; КБ-308 рег. N2 70323, зав. N22085;
КБ- 403А рег. N 80748, зав. N 537; КБК-160-2 рег. N 49305, зав. N 368; КБ-403 рег. N76525, зав. N 1814 в Центральном управлении Ростехнадзора в связи со списанием с баланса предприятия и их ликвидацией. Башенных кранов на балансе АО «УМ-62» на момент проведения проверки нет.

"
Верхне-Донское управление,46 Курская область,контроль выполнения предписания,"ООО ""РеалСтрой""",4 633 019 535,А07-06460-0001,13.07.2017,14.07.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),ЗАО «Управление механизации N 65»,5 022 013 651,А02-30777-0001,25.12.2017,25.12.2017,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,"?нет
","?
В ходе проверки установлено, что ЗАО «УМ-65» списало с баланса башенный кран КБ-403, рег. N 78590 и сняло его с учета в Центральном управлении Ростехнадзора. Башенные краны в ЗАО «УМ-65» отсутствуют.

"
Верхне-Донское управление,46 Курская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Автостройтранс""",4 633 023 274,А07-06375-0001,26.06.2017,30.06.2017,1,1,0,12,2,1,0,0,0,15,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Верхне-Донское управление,46 Курская область,контроль выполнения предписания,"ООО ""Автостройтранс""",4 633 023 274,А07-06375-0001,30.08.2017,31.08.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Верхне-Донское управление,46 Курская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Эльдекор XXI плюс""",4 632 069 029,А07-06654-0001,21.08.2017,25.08.2017,3,1,2,4,8,2,0,0,0,14,0, -   ? ,1, 20 000.00 ? ,1,0,0,0,,
Верхне-Донское управление,46 Курская область,контроль выполнения предписания,ООО «Эльдекор XXI плюс»,4 632 069 029,А07-06654-0001,08.11.2017,10.11.2017,3,1,2,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Верхне-Донское управление,46 Курская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Управление  механизации №2-Монтажное""",4 632 046 991,А07-05803-001,18.09.2017,22.09.2017,16,7,9,15,0,1,0,0,0,16,0, -   ? ,1, 20 000.00 ? ,1,0,0,0,,
Верхне-Донское управление,46 Курская область,контроль выполнения предписания,"ООО ""Управление  механизации №2-Монтажное""",4 632 046 991,А07-05803-001,26.12.2017,28.12.2017,16,7,9,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Крамакс +""",5 040 125 936,,05.06.2017,09.06.2017,2,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?Составлен акт о невозможности проведения проверки, в связи с отсутствием по юридическому адресу юридического лица. Фактическое местонахождение юридического  лица и технических устройтв неизвестно и не выявлено. Проводятся мероприятия по выявленияю местонаходжения юр лица для организации и проведения внеплановой проверки."
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Клинский завод изолированных труб""",5 020 064 820,А02-90086-0002,19.06.2017,23.06.2017,1,1,0,8,21,2,1,0,0,32,0, -   ? ,1, 20 000.00 ? ,1,0,0,0,"?Материалы переданы в суд для назначения наказания - административное приостановление деятельности по ч. 1 ст. 9.1 КоАП РФ (КБ-507, рег. № 110452, зав. № 11)
",
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"СТФ ""Мостоотряд-99"" (ПАО ""Мостотрест"")",7 701 045 732,А01-02289-0064,24.05.2017,31.05.2017,1,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?Установлено, что башенный кран смонтирован в г. Москва. Направлено информационное письмо в МТУ Ростехнадзора.
"
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""ПКФ Стройбетон""",5 018 059 580,А02-52512-0001,12.05.2017,08.06.2017,14,14,7,9,10,1,0,0,0,20,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Инвестжилстрой""",5 027 089 220,А02-91304-0001,27.07.2017,04.08.2017,2,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?Башенные краны переданы в аренду ООО ""Промышленная компания"". Проверка ООО ""Промышленная компания"" запланирована на 1-й квартал 2018 года
"
Центральное управление,50 Московская область;#69 Тверская область,первичная выездная проверка (по поручению 85 РП),"ООО ""М-Кран""",7 701 779 684,А01-13423-0001,03.07.2017,14.07.2017,14,8,5,2,14,4,0,0,0,20,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ЗАО ""Служба механизации""",7 705 794 997,А01-08802-0001,17.07.2017,21.07.2017,1,1,0,8,11,1,0,0,0,20,1, 200 000.00 ? ,2, 40 000.00 ? ,0,0,0,0,,
Западно-Уральское управление,56 Оренбургская область,первичная выездная проверка (по поручению 85 РП),общество с ограниченной ответственностью «Уральская инвестиционная компания»,5 638 050 428,А49-03331-0001,04.09.2017,15.09.2017,7,7,2,3,14,0,0,0,0,17,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Западно-Уральское управление,56 Оренбургская область,первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью «Тандем-2000»,5 610 060 472,,25.09.2017,29.09.2017,2,2,0,6,13,0,0,0,0,19,0, -   ? ,1, 40 000.00 ? ,0,2,0,0,,
Западно-Уральское управление,56 Оренбургская область,контроль выполнения предписания,Общество с ограниченной ответственностью «Тандем-2000»,5 610 060 472,А49-03407-0001,14.12.2017,18.12.2017,2,2,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
